"lon","lat","bbox.lon1","bbox.lat1","bbox.lon2","bbox.lat2","resource.name","Data name","Language 1","Language 2","Language 3","Country","Place","Contents","Words count","Collection start","Collection end","Access","Licence","popup"
125.663737985904,8.7129996212369,NA,NA,NA,NA,"Agusan Manobo word list","Agusan Manobo word list","Agusan Manobo  <nobr>[<a href=https://glottolog.org/resource/languoid/id/agus1235 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Phillipines","","word list",1225,"","","closed","?","<b>Agusan Manobo word list</b><br><b>Languages:</b> Agusan Manobo, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
121.33,14.58,NA,NA,NA,NA,"Agutaynen word list","Agutaynen word list","Agutaynen  <nobr>[<a href=https://glottolog.org/resource/languoid/id/agut1237 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Phillipines","","word list",1017,"","","closed","?","<b>Agutaynen word list</b><br><b>Languages:</b> Agutaynen, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
123.061582698981,-10.7285352226889,NA,NA,NA,NA,"Ba'a word list","Ba'a word list","Ba'a  <nobr>[<a href=https://glottolog.org/resource/languoid/id/baaa1237 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Indonesia","","word list",1175,"","","closed","?","<b>Ba'a word list</b><br><b>Languages:</b> Ba'a, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
115.2001472,-8.1156344,NA,NA,NA,NA,"Bulian ritual documentary","<a href=https://www.youtube.com/watch?v=UJSUz9a3wkc title='Bulian ritual documentary' target=_blank>Bulian ritual documentary</a> ","Bali Aga  <nobr>[<a href=https://glottolog.org/resource/languoid/id/high1274 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","English <nobr>[<a href=https://glottolog.org/resource/languoid/id/stan1293 title='Glottolog reference'  target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","Indonesia","<a href=https://www.geonames.org/7055773/desa-bulian.html target=_blank>Bulian</a> ","ritual",NA,"","","open","?","<b><a href=https://www.youtube.com/watch?v=UJSUz9a3wkc title='Bulian ritual documentary' target=_blank>Bulian ritual documentary</a> </b><br><b>Languages:</b> Bali Aga, English, <br><b>Licence:</b> ?<br><b>Access:</b> open"
115.130979095377,-8.42947557179456,NA,NA,NA,NA,"Balinese word list","Balinese word list","Balinese  <nobr>[<a href=https://glottolog.org/resource/languoid/id/bali1278 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Indonesia","","word list",1226,"","","closed","?","<b>Balinese word list</b><br><b>Languages:</b> Balinese, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
121.49,16.15,NA,NA,NA,NA,"Batak word list","Batak word list","Batak  <nobr>[<a href=https://glottolog.org/resource/languoid/id/bata1301 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Phillipines","","word list",1122,"","","closed","?","<b>Batak word list</b><br><b>Languages:</b> Batak, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
123.214097643492,13.5349125042726,NA,NA,NA,NA,"Bicolano word list","Bicolano word list","Bicolano  <nobr>[<a href=https://glottolog.org/resource/languoid/id/irig1242 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Phillipines","","word list",1164,"","","closed","?","<b>Bicolano word list</b><br><b>Languages:</b> Bicolano, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
121.039825120407,10.8458357840127,NA,NA,NA,NA,"Cuyunon word list","Cuyunon word list","Cuyunon  <nobr>[<a href=https://glottolog.org/resource/languoid/id/cuyo1237 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Phillipines","","word list",1201,"","","closed","?","<b>Cuyunon word list</b><br><b>Languages:</b> Cuyunon, , <br><b>Licence:</b> ?<br><b>Access:</b> closed"
NA,NA,122.791443,-10.421368,123.453369,-11.013993,"Dela-Rote-Indonesian-English picture dictionary","<a href=https://e.pcloud.link/publink/show?code=XZKjbaZjspzIpluq9RW9y4vUAD8IhpENej7 title='Dela-Rote-Indonesian-English picture dictionary' target=_blank>Dela-Rote-Indonesian-English picture dictionary</a> ","Dela  <nobr>[<a href=https://glottolog.org/resource/languoid/id/dela1251 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","","","Indonesia","<a href=https://www.geonames.org/2056960 target=_blank>Rote island</a> ","word list",956,"","","open","?","<b><a href=https://e.pcloud.link/publink/show?code=XZKjbaZjspzIpluq9RW9y4vUAD8IhpENej7 title='Dela-Rote-Indonesian-English picture dictionary' target=_blank>Dela-Rote-Indonesian-English picture dictionary</a> </b><br><b>Languages:</b> Dela, , <br><b>Licence:</b> ?<br><b>Access:</b> open"
122.845227,-10.88403,NA,NA,NA,NA,"Folk Narratives from East Nusa Tenggara","<a href=https://doi.org/10.5281/zenodo.20843251 title='Folk Narratives from East Nusa Tenggara' target=_blank>Folk Narratives from East Nusa Tenggara</a> ","Dela  <nobr>[<a href=https://glottolog.org/resource/languoid/id/dela1251 title='Glottolog reference' target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","English <nobr>[<a href=https://glottolog.org/resource/languoid/id/stan1293 title='Glottolog reference'  target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","Indonesian <nobr>[<a href=https://glottolog.org/resource/languoid/id/indo1316  title='Glottolog reference'  target=_blank><img height=12px src=logo-glottolog.png></a>]</nobr>","Indonesia","<a href=https://www.geonames.org/2057021 target=_blank>Nemberala</a> ","folk tales",NA,"2016","2017","open","CC-BY-4.0","<b><a href=https://doi.org/10.5281/zenodo.20843251 title='Folk Narratives from East Nusa Tenggara' target=_blank>Folk Narratives from East Nusa Tenggara</a> </b><br><b>Languages:</b> Dela, English, Indonesian<br><b>Licence:</b> CC-BY-4.0<br><b>Access:</b> open"
